Date,SPY_ret,QQQ_ret,IWM_ret,USO_ret,UUP_ret,VIX_ret,Treasury_10Y,TBill_3M,FedFunds,COVID_dummy,Ukraine_dummy
2010-01-05,0.0026436014395869,0.0,-0.0034445815949388,0.0034704890836641,-0.0004362055448138,-0.0350378827116718,3.77,0.11,0.13,0,0
2010-01-06,0.00070363819898,-0.0060502738470609,-0.0009412636911172,0.0137628460394385,-0.002622435648679,-0.0098676746111513,3.85,0.11,0.13,0,0
2010-01-07,0.0042123565024702,0.0006501809032636,0.0073513439656748,-0.006120719133586,0.0065430408095562,-0.0052328943725934,3.85,0.11,0.13,0,0
2010-01-08,0.0033223400849098,0.0081965041639571,0.0054394312693084,0.0051438957401118,-0.0069808827743931,-0.0500238917292477,3.83,0.11,0.13,0,0
2010-01-11,0.0013953366330675,-0.0040899016712627,-0.0040380884547846,-0.0095741343531905,-0.0052678050141524,-0.0325140720374554,3.85,0.11,0.13,0,0
2010-01-12,-0.0093698836389345,-0.0125898032631834,-0.0109530682075549,-0.0227027294526307,0.0,0.0391111735889601,3.74,0.11,0.13,0,0
2010-01-13,0.0084107266063042,0.0123736320638544,0.0128189923949887,-0.0106546411996247,-0.0008804873308868,-0.0221615504319996,3.8,0.11,0.13,0,0
2010-01-14,0.0027011932183846,0.0008628887136064,0.0037208474973378,-0.0038328323478747,-0.0026469298868973,-0.0124015807892981,3.76,0.11,0.13,0,0
2010-01-15,-0.0112876808855611,-0.0117084608630697,-0.0146537582145473,-0.0170414612769221,0.0057258513744601,0.0157572587457142,3.7,0.11,0.13,0,0
2010-01-19,0.0124180513290004,0.0160107333191289,0.0182064487188008,0.0137076701313443,0.0030693708574765,-0.0185973196357007,3.73,0.11,0.13,0,0
2010-01-20,-0.0102207036810387,-0.014485483360065,-0.0146010373276467,-0.0270779605394583,0.0121847242171346,0.0606915612205137,3.68,0.11,0.13,0,0
2010-01-21,-0.0194161512931173,-0.0094076220425201,-0.016565558458195,-0.0173037114415197,0.0,0.1757870526867179,3.62,0.11,0.13,0,0
2010-01-22,-0.0225442772905026,-0.0296731880703912,-0.0181401893626959,-0.024464430313555,-0.0017315407221746,0.2040124141057789,3.62,0.11,0.13,0,0
2010-01-25,0.0051145428440141,0.0033910172709283,0.0011332954011815,0.0128505175315604,-0.0013007002649057,-0.0721101246031868,3.66,0.11,0.13,0,0
2010-01-26,-0.0041991211072716,0.0009020022522147,-0.0099196992429481,-0.008457324110036,0.0043290057411919,-0.0344309681634739,3.65,0.11,0.13,0,0
2010-01-27,0.0047455429724666,0.0078604149826341,0.010566928980557,-0.0115735146441714,0.0034495457780782,-0.0591491277745074,3.66,0.11,0.13,0,0
2010-01-28,-0.0115384081856188,-0.0260631394149583,-0.0172899264784365,0.0022147853599034,0.0017205661538525,0.0251773557681093,3.68,0.11,0.13,0,0
2010-01-29,-0.0109283202222857,-0.0176052118563748,-0.0110845443751909,-0.0144849458270342,0.007705489293961,0.0368191036866048,3.63,0.11,0.13,0,0
2010-02-01,0.0154311046768265,0.0109231166247992,0.0117426323217853,0.0298530135186945,-0.0042734082025837,-0.086051817609195,3.68,0.11,0.13,0,0
2010-02-02,0.0120310270796339,0.0089753616368726,0.010956004676694,0.021818981625028,-0.0034320810913772,-0.0503850889050714,3.67,0.11,0.13,0,0
2010-02-03,-0.0049954033485559,0.0054834783979832,-0.0066902405719123,0.0031924141530274,0.0055709703724316,0.0055710840212487,3.73,0.11,0.13,0,0
2010-02-04,-0.0313519863550448,-0.0293627315470048,-0.033968820984659,-0.0503851226783974,0.0063899366864629,0.1884754017823162,3.62,0.11,0.13,0,0
2010-02-05,0.0020645001428822,0.008411143524618,0.0038875694606215,-0.0166177649304482,0.0042370962727343,0.0011496719541274,3.59,0.11,0.13,0,0
2010-02-08,-0.0072449081293651,-0.0072384209814638,-0.0100042181236904,-0.0034139132214522,-0.0004227384689778,0.0152036228475284,3.62,0.11,0.13,0,0
2010-02-09,0.0124817894390432,0.0102584130195203,0.0137090214122878,0.0314191045501274,-0.0063654348180413,-0.0194254909132444,3.67,0.11,0.13,0,0
2010-02-10,-0.0019607014142191,-0.0020898862476238,0.0023508234237032,0.0082508512010246,0.002975624511678,-0.0233473790154844,3.72,0.11,0.13,0,0
2010-02-11,0.0104123949300718,0.0149959260599229,0.0158061544618426,0.0073680362921081,-0.000424547497393,-0.0583634239694068,3.73,0.11,0.13,0,0
2010-02-12,-0.0008328263083908,0.0020587118464761,0.0072367310152953,-0.0128609627393232,0.0033912473093853,-0.052700117311324,3.69,0.11,0.13,0,0
2010-02-16,0.01561227163952,0.012716150639451,0.016738593303245,0.0399513183405734,-0.0084998285345248,-0.0213436091130175,3.66,0.11,0.13,0,0
2010-02-17,0.0047271769680859,0.0056244766380143,0.0067461174596354,0.0047518648047512,0.0093456774978739,-0.0241085451600282,3.74,0.11,0.13,0,0
2010-02-18,0.0058779030031943,0.0062628323817725,0.0081306806692913,0.0198180753144465,0.0,-0.0514871770493036,3.79,0.11,0.13,0,0
2010-02-19,0.0020714757673298,-0.0004456755893685,0.0012695096044005,0.009252202001061,0.0029554273238398,-0.0300144896505248,3.78,0.11,0.13,0,0
2010-02-22,0.0001800812443737,-0.0020097209157031,0.0030085478734583,-0.0015361337918639,-0.0016875117710757,-0.00400400543547,3.8,0.11,0.13,0,0
2010-02-23,-0.0122192474236033,-0.0130482587227102,-0.0117686758861269,-0.0180976227532408,0.0054747766213129,0.0692603172857005,3.69,0.11,0.13,0,0
2010-02-24,0.009155931433055,0.010138453008065,0.0084433915873629,0.0170723188798927,-0.0021022116088508,-0.0528461255554057,3.7,0.11,0.13,0,0
2010-02-25,-0.0013545819611343,-0.0002249479059992,0.0003167364253057,-0.0228285151418621,-0.0021067365090142,-0.0084221490035941,3.64,0.11,0.13,0,0
