Date,Actual,ARIMA_Forecast,SARIMAX_Forecast,ARIMA_Error,SARIMAX_Error,ARIMA_Correct_Dir,SARIMAX_Correct_Dir
2013-01-07,-0.002736648476212,7.100664462407789e-05,0.0016298201591905188,0.0028076551208360777,0.004366468635402519,0,0
2013-01-08,-0.0028816792757348,0.0006232025400803448,0.0013014526572333932,0.0035048818158151447,0.004183131932968193,0,0
2013-01-09,0.0025388165617752,0.0003884150673045934,-0.002426752831139833,0.0021504014944706065,0.004965569392915033,1,0
2013-01-10,0.0079185391025906,0.00042751162501428706,0.0068272406133490044,0.007491027477576313,0.0010912984892415952,1,1
2013-01-11,-6.801960974087078e-05,0.0004142292810463293,0.0016289649556829925,0.0004822488907872001,0.0016969845654238632,0,0
2013-01-14,-0.0006805158847878,0.0004168135920752456,0.00033103086001346865,0.0010973294768630455,0.0010115467448012687,0,0
2013-01-15,0.0006805158847878,0.00041604169125637893,-0.0019510144831961667,0.0002644741935314211,0.0026315303679839666,1,0
2013-01-16,-0.0001360531010574,0.00041620668077673015,0.002249630914475367,0.0005522597818341301,0.002385684015532767,0,0
2013-01-17,0.0064395767324997,0.0004161610075661771,0.0012399097642407052,0.006023415724933523,0.005199666968258994,1,1
2013-01-18,0.0022270359355391,0.0004161713425156177,0.008435649233399773,0.001810864593023482,0.006208613297860674,1,1
2013-01-22,0.0053789701958206,0.0004161686085433739,0.001774878219063384,0.004962801587277225,0.0036040919767572153,1,1
2013-01-23,0.0016081036927549,0.00041616924893836616,-0.0016176718051595844,0.0011919344438165338,0.003225775497914484,1,0
2013-01-24,0.0002677981126135,0.0004161690840877742,-0.001039855611755936,0.00014837097147427423,0.001307653724369436,1,0
2013-01-25,0.005606683339333,0.00041616912351850964,-0.0006298077476397571,0.005190514215814491,0.006236491086972757,1,0
2013-01-28,-0.0011990714409302,0.0004161691135335641,-0.0046240718121237576,0.0016152405544637642,0.0034250003711935578,0,1
2013-01-29,0.0039237612588338,0.0004161691159523191,0.004557149319823614,0.0035075921428814813,0.0006333880609898134,1,1
2013-01-30,-0.0039237612588337,0.00041616911534585925,-0.0054658873000785506,0.004339930374179559,0.0015421260412448509,0,1
2013-01-31,-0.0024684574096145,0.00041616911549389817,1.2807563721558065e-05,0.002884626525108398,0.0024812649733360584,0,0
2013-02-01,0.0102347533682409,0.0004161691154570012,0.011620366879785867,0.0098185842527839,0.001385613511544967,1,1
2013-02-04,-0.0113041710852331,0.0004161691154660497,-0.01708620206037165,0.01172034020069915,0.00578203097513855,0,1
2013-02-05,0.0100467890791823,0.00041616911546380256,0.008552684597679674,0.009630619963718497,0.0014941044815026255,1,1
2013-02-06,0.0007283875764851,-0.0007378193577288035,0.0021046259772031783,0.0014662069342139036,0.0013762384007180782,0,1
2013-02-07,-0.0013241877203959,0.0011102976587238967,-0.0033662698097715205,0.0024344853791197964,0.0020420820893756204,0,1
2013-02-08,0.0055489596862169,0.00039842226174155,0.004110728999309362,0.00515053742447535,0.0014382306869075382,1,1
2013-02-11,-0.0001979161737717,0.0005447464393861805,0.002436579603087317,0.0007426626131578804,0.002634495776859017,0,0
2013-02-12,0.0016458996252401,0.0004962583358196921,0.004114778943438793,0.001149641289420408,0.0024688793181986924,1,1
2013-02-13,0.0008548110067995,0.0005073586414746378,-0.002957202762679845,0.0003474523653248622,0.003812013769479345,1,0
2013-02-14,0.0009195846930594,0.0005039861540410038,0.002501370585806799,0.0004155985390183962,0.001581785892747399,1,1
2013-02-15,-0.0011821815901616,0.0005048094007264875,-0.0004919502228243139,0.0016869909908880875,0.000690231367337286,0,1
2013-02-19,0.0074664061243195,0.0005045716825491427,0.002465885885463419,0.006961834441770357,0.005000520238856081,1,1
2013-02-20,-0.0125414523142307,0.0005046319745438561,-0.02359189916280098,0.013046084288774556,0.01105044684857028,0,1
2013-02-21,-0.0060979783572558,0.0005046150790159843,-0.0077736391857664965,0.006602593436271785,0.0016756608285106965,0,1
2013-02-22,0.0097247634033162,0.0005046194629495282,0.008462675564118513,0.009220143940366672,0.0012620878391976873,1,1
2013-02-25,-0.0192095883837589,0.0005046182560397863,-0.033410348504179524,0.019714206639798684,0.014200760120420625,0,1
2013-02-26,0.0068224677624342,0.0005046185734734657,0.013058041522760931,0.006317849188960734,0.006235573760326732,1,1
2013-02-27,0.0125190910760313,0.0005046184869963382,0.016088592413022112,0.012014472589034963,0.0035695013369908112,1,1
2013-02-28,-0.0019763315237499,0.0005046185099249713,-0.00813870733412405,0.002480950033674871,0.00616237581037415,0,1
2013-03-01,0.0032926222128941,0.0005046185037174104,-0.0009536637950811347,0.00278800370917669,0.004246286007975235,1,0
2013-03-04,0.00531031856925,0.0005046185053711858,0.008655826555468798,0.004805700063878814,0.0033455079862187978,1,1
2013-03-05,0.0089191048682886,0.0005046185049251042,0.006039209109551086,0.008414486363363496,0.0028798957587375133,1,1
2013-03-06,0.0013605661288426,0.0005046185050442845,-0.0018773977651410617,0.0008559476237983154,0.0032379638939836614,1,0
2013-03-07,0.0018106355777094,0.0005046185050122078,0.007085833043425893,0.001306017072697192,0.005275197465716493,1,1
2013-03-08,0.0042552024082232,0.000438487096525051,0.002512948393268332,0.0038167153116981487,0.0017422540149548676,1,1
2013-03-11,0.0037882169547883,0.000546698712765482,0.009572467703348788,0.003241518242022818,0.005784250748560488,1,1
2013-03-12,-0.0022457741950525,0.00047464900000079076,-0.00469097101287879,0.002720423195053291,0.0024451968178262904,0,1
2013-03-13,0.0014123515986615,0.00048435012007947835,0.0026582091336858887,0.0009280014785820216,0.0012458575350243887,1,1
2013-03-14,0.0053095300440506,0.00048031257098781935,0.007252587665759983,0.00482921747306278,0.0019430576217093834,1,1
2013-03-15,-0.0013208085335735,0.00048102903636254227,0.0024352989501687573,0.0018018375699360423,0.003756107483742257,0,0
2013-03-18,-0.0055339104345786,0.00048079184252900354,-0.018512702447216357,0.006014702277107604,0.012978792012637757,0,1
2013-03-19,-0.0023264035045355,0.00048084089672756835,-0.010717630525673778,0.0028072444012630683,0.008391227021138278,0,1
2013-03-20,0.0069612597595583,0.0004808265216452196,0.015768473510413064,0.006480433237913081,0.008807213750854765,1,1
2013-03-21,-0.0085791924345121,0.0004808297622346785,-0.011597261155076151,0.009060022196746778,0.0030180687205640516,0,1
2013-03-22,0.0080006486331252,0.00048082887409856684,0.007725781951914694,0.007519819759026634,0.00027486668121050675,1,1
2013-03-25,-0.0041860274628016,0.0004808290842848246,-0.0019835764037419126,0.004666856547086424,0.0022024510590596875,0,1
2013-03-26,0.0079707359494942,0.00048082902878203914,0.010554068423232577,0.00748990692071216,0.0025833324737383773,1,1
2013-03-27,0.0,0.000480829042281807,-0.0034282418125883025,0.000480829042281807,0.0034282418125883025,0,0
2013-03-28,0.0030687838508447,0.00048082903879017734,0.005531809928899621,0.0025879548120545225,0.0024630260780549207,1,1
2013-04-01,-0.0039652762037635,0.0004808290396526048,-0.005827299267508624,0.004446105243416105,0.0018620230637451237,0,1
2013-04-02,0.0049224038861168,0.00048082903943211626,0.005827899633980424,0.004441574846684684,0.0009054957478636235,1,1
2013-04-03,-0.010190832098235,0.0004808290394870493,-0.013704629067035805,0.01067166113772205,0.003513796968800805,0,1
2013-04-04,0.0040502063892184,0.00048082903947309607,0.0014713158356977065,0.003569377349745304,0.002578890553520694,1,1
2013-04-05,-0.0045014007248559,0.0004808290394765893,0.0001319669753943797,0.004982229764332489,0.00463336770025028,0,0
2013-04-08,0.0067444948056948,0.0004808290394757052,0.0059988726048392565,0.006263665766219095,0.0007456222008555436,1,1
2013-04-09,0.0034506087063011,-0.00023764964762491272,0.00495180332363963,0.003688258353926013,0.00150119461733853,0,1
2013-04-10,0.0121748616380606,0.0008108634574844116,0.004824062067348159,0.011363998180576188,0.007350799570712441,1,1
2013-04-11,0.003272199289894,0.0003792465229177392,0.0006190013846635596,0.0028929527669762606,0.0026531979052304405,1,1
2013-04-12,-0.0024532202057324,0.0004623625660355821,-0.0017478530309235382,0.0029155827717679823,0.000705367174808862,0,1
2013-04-15,-0.0234469049287727,0.00043445970773604777,-0.04160487101001882,0.023881364636508747,0.018157966081246122,0,1
2013-04-16,0.0146551838482914,0.00044062705982096667,0.02564462605971801,0.014214556788470433,0.01098944221142661,1,1
2013-04-17,-0.0147192692666729,0.0004387702093039199,-0.02332918693899695,0.015158039475976819,0.008609917672324052,0,1
2013-04-18,-0.0062736405857602,0.00043921358057770265,-0.0028205305633242947,0.006712854166337903,0.0034531100224359057,0,1
2013-04-19,0.0086555075870503,0.00043908781326672323,0.014866112762502251,0.008216419773783578,0.006210605175451951,1,1
2013-04-22,0.0044286917529704,0.00043911917183438333,0.0064886220607472365,0.003989572581136016,0.0020599303077768367,1,1
2013-04-23,0.0102566622342923,0.0004391105647571635,0.006100868854282782,0.009817551669535136,0.004155793380009518,1,1
2013-04-24,0.0006332754377319,0.00043911276343932225,0.0031257464435692803,0.00019416267429257772,0.0024924710058373805,1,1
2013-04-25,0.0040456723643263,0.0004391121708892012,0.0035764232758336745,0.0036065601934370988,0.0004692490884926257,1,1
2013-04-26,-0.0017677607957074,0.00043911232431866553,0.0012689718046803556,0.0022068731200260657,0.0030367326003877555,0,0
2013-04-29,0.0066761737114031,0.0004391122833871838,0.0031360551532965495,0.0062370614280159165,0.0035401185581065506,1,1
2013-04-30,0.0023825615409053,0.0004391122940659609,0.0013825386715974534,0.0019434492468393392,0.0010000228693078468,1,1
2013-05-01,-0.0088058602139977,0.00043911229123318033,-0.009730380191469816,0.00924497250523088,0.0009245199774721158,0,1
2013-05-02,0.0092439272023645,0.00043911229197535635,0.009621005870037922,0.008804814910389144,0.00037707866767342293,1,1
2013-05-03,0.0100895649644286,0.0004391122917790974,0.008420317713226686,0.009650452672649502,0.0016692472512019139,1,1
2013-05-06,0.0025380399096051,0.0004391122918306373,0.0017679349438440074,0.002098927617774463,0.0007701049657610928,1,1
2013-05-07,0.0050561321898571,0.00043911229181703215,-0.0015016350295728583,0.004617019898040068,0.0065577672194299585,1,0
2013-05-08,0.0045404451115774,0.00028744734132703394,0.0048643922583012965,0.004252997770250366,0.0003239471467238967,1,1
2013-05-09,-0.0028203965599222,0.0007559962870750432,-0.006791420744432915,0.003576392846997243,0.003971024184510715,0,1
2013-05-10,0.0032487664729963,0.0004933697350409532,0.0028313445107805307,0.0027553967379553464,0.00041742196221576915,1,1
2013-05-13,0.0007951742808215,0.0005349764456634409,-0.0009430872900543923,0.0002601978351580591,0.0017382615708758922,1,0
2013-05-14,0.0102808275036149,0.0005193598471679751,-0.0038060237121265257,0.009761467656446926,0.014086851215741426,1,0
2013-05-15,0.0053724315123084,0.0005224923753314866,-0.0004497253166755627,0.0048499391369769135,0.005822156828983963,1,0
2013-05-16,-0.0047070574751869,0.000521515722278705,-0.00023945962187582983,0.005228573197465605,0.0044675978533110705,0,1
2013-05-17,0.0096302747794472,0.0005217370406073437,0.004810140297003823,0.009108537738839857,0.004820134482443378,1,1
2013-05-20,-5.9433495935726695e-05,0.0005216741072544616,-0.0010368937419366043,0.0005811076031901883,0.0009774602460008775,0,1
2013-05-21,0.0014367292609627,0.0005216893009851601,-0.0036907544827735374,0.00091503995997754,0.005127483743736238,1,0
2013-05-22,-0.0074455921989971,0.0005216851776671976,-0.007014189168014364,0.007967277376664297,0.0004314030309827358,0,1
2013-05-23,-0.0028965854524665,0.0005216862063505401,0.001138471881770398,0.0034182716588170405,0.0040350573342368985,0,0
2013-05-24,-0.0008466992188532,0.0005216859337728207,0.0007243213669203857,0.0013683851526260207,0.0015710205857735857,0,0
2013-05-28,0.0059710978927709,0.0005216860029385194,-0.0033917206260055594,0.00544941188983238,0.00936281851877646,1,0
2013-05-29,-0.0065156761118218,0.0005216859848345244,-0.002534993922312073,0.007037362096656325,0.003980682189509727,0,1
2013-05-30,0.003685262095955,0.0005216859894687313,0.005262129204254418,0.0031635761064862686,0.001576867108299418,1,1
2013-05-31,-0.0144555859997129,0.000521685988263359,-0.01464776723026242,0.014977271987976258,0.00019218123054952005,0,1
2013-06-03,0.0054909150089702,0.0005216859885733017,0.005278185752643273,0.004969229020396899,0.0002127292563269276,1,1
2013-06-04,-0.0048191142596131,0.0005216859884929457,0.0005487765285870898,0.005340800248106046,0.00536789078820019,0,0
2013-06-05,-0.0140995897551839,0.000521685988513656,-0.0059504102969012325,0.014621275743697556,0.008149179458282668,0,1
2013-06-06,0.009012588467417,0.0005216859885082956,0.011255168384878087,0.008490902478908704,0.0022425799174610878,1,1
2013-06-07,0.0126399606512113,-0.0010014515743105765,0.011453433827377566,0.013641412225521878,0.0011865268238337341,0,1
2013-06-10,0.0,0.0013812645304246071,-0.0023440815360705088,0.0013812645304246071,0.0023440815360705088,0,0
2013-06-11,-0.0103687398642417,0.00046936092185206944,-0.007913943407670479,0.01083810078609377,0.002454796456571222,0,1
2013-06-12,-0.0083115491247999,0.0007075832966645044,-0.006840873331179123,0.009019132421464404,0.0014706757936207761,0,1
2013-06-13,0.0150941914972486,0.0006232345201506905,0.015091844180009924,0.01447095697709791,2.3473172386760666e-06,1,1
2013-06-14,-0.0062921376749262,0.0006466316261480405,-0.0018998601729290317,0.00693876930107424,0.004392277501997168,0,1
2013-06-17,0.007692198234635,0.0006387456843286598,0.0031560149005827503,0.0070534525503063395,0.0045361833340522495,1,1
2013-06-18,0.0078739927285597,0.0006410191027935747,0.0021921682619524736,0.007232973625766126,0.005681824466607227,1,1
2013-06-19,-0.0139127159092767,0.0006402765346325204,-0.003079497515951622,0.01455299244390922,0.010833218393325078,0,1
2013-06-20,-0.0250908736906071,0.0006404959765075861,-0.02680404018874707,0.025731369667114683,0.0017131664981399723,0,1
2013-06-21,0.003204920280409,0.000640425723005596,0.004805511829398972,0.002564494557403404,0.0016005915489899726,1,1
2013-06-24,-0.0127166911743141,0.0006404468170096282,-0.0042038157488449215,0.013357137991323728,0.008512875425469179,0,1
2013-06-25,0.0095689849112113,0.0006404401499072506,0.008817126656104337,0.00892854476130405,0.0007518582551069627,1,1
2013-06-26,0.0098516874259762,0.0006404421722824909,0.006191500398390871,0.00921124525369371,0.0036601870275853295,1,1
2013-06-27,0.00585267084717,0.0006404415383051083,0.004885017233939633,0.005212229308864892,0.0009676536132303673,1,1
2013-06-28,-0.0041053496139975,0.0006404417318772093,-0.0008228444415929755,0.004745791345874709,0.0032825051724045245,0,1
2013-07-01,0.0058420125834676,0.0006404416715142238,0.006093261863956906,0.0052015709119533765,0.00025124928048930566,1,1
2013-07-02,-0.0009292905023808,0.000640441690022417,0.0003593385918829405,0.001569732192403217,0.0012886290942637404,0,0
2013-07-03,0.0004335096297199,0.0006404416842702885,0.00563617707921982,0.00020693205455038852,0.00520266744949992,1,1
2013-07-05,0.0107315890020878,0.0006404416860387342,0.007509201984351566,0.010091147316049065,0.0032223870177362345,1,1
2013-07-08,0.00568809857199,0.0006404416854903076,0.001334044329321494,0.005047656886499692,0.0043540542426685055,1,1
2013-07-09,0.0071717060469726,0.0010024593135037998,0.0036381918803885535,0.0061692467334688,0.0035335141665840467,1,1
2013-07-10,0.0003632477235978,0.0009990920575934543,0.00616098081304072,0.0006358443339956544,0.0057977330894429194,1,1
2013-07-11,0.0135287100977591,0.0006992433973646344,0.005262858889649004,0.012829466700394466,0.008265851208110096,1,1
2013-07-12,0.0004177233052993,0.0007194817848890666,0.0031620230248271797,0.0003017584795897666,0.0027442997195278795,1,1
