Date,SPY_ret,Cond_Vol_Daily,Cond_Vol_Annual,High_Vol_Regime
2021-11-08,0.0008534183584991,0.5797354183593958,9.203014459169703,0
2021-11-09,-0.0033108699178455,0.5532717502753389,8.782916751995872,0
2021-11-10,-0.0080774352870067,0.5582631164024685,8.86215223284501,0
2021-11-11,0.0003235244180109,0.6495256260440032,10.310899660055824,0
2021-11-12,0.0075185534608754,0.6124768839953756,9.722769112965121,0
2021-11-15,0.0003423891914875,0.6420366799328747,10.192016326103762,0
2021-11-16,0.0039498611503229,0.6061091587949631,9.621684609180178,0
2021-11-17,-0.0024321602216147,0.5892362687747938,9.35383578382631,0
2021-11-18,0.0033907229447355,0.5773803770021398,9.165629336618276,0
2021-11-19,-0.0017898117244409,0.5610105162488228,8.905765853318075,0
2021-11-22,-0.002819247925958,0.5486056399834027,8.7088445474611,0
2021-11-23,0.0013251947414667,0.5486470229479811,8.709501481657833,0
2021-11-24,0.002666225156604,0.5276832170683976,8.376711380312964,0
2021-11-26,-0.0225555764798447,0.515326570650723,8.180555699553418,0
2021-11-29,0.0121919516602608,1.0852978640333428,17.2285694799709,0
2021-11-30,-0.0196494344298466,1.0934283700896876,17.357637262320058,0
2021-12-01,-0.0111693235466379,1.3056303395260453,20.726239095400448,0
2021-12-02,0.0152001755987437,1.2822897623934557,20.35571892010313,0
2021-12-03,-0.0087394389475418,1.3033582664265266,20.69017105310913,0
2021-12-06,0.0117739223826945,1.2452181371615043,19.767225113738743,0
2021-12-07,0.020473620186186,1.2155416283838558,19.296125141701044,0
2021-12-08,0.0026445560572032,1.3669200954210659,21.69918380748492,0
2021-12-09,-0.0067743808478355,1.2391255949630788,19.67050900468354,0
2021-12-10,0.0093693428297573,1.1673878924460297,18.531708281760075,0
2021-12-13,-0.0088978247237913,1.117392965612227,17.738063422457405,0
2021-12-14,-0.0069038132761082,1.0937038701281772,17.36201068984825,0
2021-12-15,0.0155042900127274,1.0465196352865946,16.61298418268607,0
2021-12-16,-0.0088578180281223,1.1292024336942663,17.92553291642359,0
2021-12-17,-0.010699798047166,1.1027512988926766,17.505634168940876,0
2021-12-20,-0.0106903028158531,1.1114180397127658,17.643214414265323,0
2021-12-21,0.0176031268134045,1.1181261134483254,17.749701783548772,0
2021-12-22,0.0099491106824867,1.2289600953251465,19.509136700715423,0
2021-12-23,0.006202767225986,1.1762970409021103,18.67313662900894,0
2021-12-27,0.0140527782053352,1.091361480114347,17.324826401147554,0
2021-12-28,-0.0008173989376626,1.1328375578506942,17.9832387234401,0
2021-12-29,0.0012782897893377,1.03318782324021,16.40134822748254,0
2021-12-30,-0.0027682650493337,0.9437053570725976,14.980858114401018,0
2021-12-31,-0.0025234266955883,0.8782509030407218,13.941800868981904,0
2022-01-03,0.0057733636508673,0.8204652187889634,13.024481569762777,0
2022-01-04,-0.0003352017583251,0.7849300712693744,12.46037859092982,0
2022-01-05,-0.0193886514824933,0.7295251942941267,11.580853435550015,0
2022-01-06,-0.0009398464784737,1.0755552942250357,17.0739109789101,0
2022-01-07,-0.0039613882930492,0.983442030331446,15.611658246632677,0
2022-01-10,-0.0012451245003633,0.9217193899237891,14.631841705947119,0
2022-01-11,0.0090670850688916,0.8507450358660862,13.505158764146339,0
2022-01-12,0.0026999474184083,0.8541719389821509,13.559559164619657,0
2022-01-13,-0.0138744528094937,0.791280911727021,12.561195057732903,0
2022-01-14,0.0004087802374395,0.9514954651155253,15.104522245808482,0
2022-01-18,-0.0178683252843625,0.8724331971624318,13.84944765125266,0
2022-01-19,-0.0104379119768071,1.113276065136065,17.672709653463436,0
2022-01-20,-0.0111296081257732,1.1152336781453878,17.70378579657927,0
2022-01-21,-0.0198258648592662,1.1289361421672026,17.921305669482464,0
2022-01-24,0.0042376792493766,1.3341665704556134,21.179237717768927,0
2022-01-25,-0.0122838611602535,1.2160019461060314,19.303432459002757,0
2022-01-26,-0.0025121422920967,1.2293233581605088,19.514903319452948,0
2022-01-27,-0.0049504210663823,1.1242888925131371,17.847532868291935,0
2022-01-28,0.0245322859330921,1.0509479053357609,16.68328079041605,0
2022-01-31,0.0178507878128039,1.366643704084022,21.694796231030818,0
2022-02-01,0.0067341195281437,1.4204579348505315,22.549070660657367,0
2022-02-02,0.0096672565362047,1.3067381485276082,20.74382501811021,0
2022-02-03,-0.0237855297166382,1.2380109586392336,19.652814701592497,0
2022-02-04,0.0046910950363319,1.5132732854102395,24.022468673238972,0
2022-02-07,-0.0032143947397884,1.3753308948201923,21.832701108708964,0
