Date,SPY_ret,QQQ_ret,IWM_ret,USO_ret,UUP_ret,VIX_ret,Treasury_10Y,TBill_3M,FedFunds,COVID_dummy,Ukraine_dummy
2010-01-05,0.0026436014395869365,0.0,-0.0034445815949388833,0.003470489083664195,-0.00043620554481386866,-0.035037882711671804,3.77,0.11,0.13,0,0
2010-01-06,0.0007036381989800628,-0.006050273847060944,-0.0009412636911172122,0.01376284603943855,-0.0026224356486790014,-0.009867674611151348,3.85,0.11,0.13,0,0
2010-01-07,0.004212356502470216,0.0006501809032636323,0.0073513439656748125,-0.006120719133586039,0.0065430408095562605,-0.005232894372593416,3.85,0.11,0.13,0,0
2010-01-08,0.0033223400849098166,0.008196504163957178,0.005439431269308499,0.005143895740111809,-0.006980882774393138,-0.05002389172924773,3.83,0.11,0.13,0,0
2010-01-11,0.001395336633067587,-0.004089901671262788,-0.004038088454784682,-0.009574134353190569,-0.005267805014152464,-0.032514072037455495,3.85,0.11,0.13,0,0
2010-01-12,-0.009369883638934573,-0.012589803263183496,-0.010953068207554957,-0.022702729452630736,0.0,0.03911117358896017,3.74,0.11,0.13,0,0
2010-01-13,0.008410726606304281,0.012373632063854481,0.01281899239498877,-0.010654641199624766,-0.0008804873308868951,-0.02216155043199965,3.8,0.11,0.13,0,0
2010-01-14,0.002701193218384634,0.0008628887136064724,0.003720847497337805,-0.0038328323478747234,-0.002646929886897375,-0.012401580789298185,3.76,0.11,0.13,0,0
2010-01-15,-0.011287680885561162,-0.011708460863069795,-0.014653758214547376,-0.017041461276922153,0.005725851374460138,0.015757258745714202,3.7,0.11,0.13,0,0
2010-01-19,0.012418051329000422,0.01601073331912893,0.018206448718800852,0.013707670131344342,0.0030693708574765746,-0.018597319635700774,3.73,0.11,0.13,0,0
2010-01-20,-0.010220703681038732,-0.014485483360065082,-0.014601037327646721,-0.027077960539458334,0.012184724217134698,0.06069156122051371,3.68,0.11,0.13,0,0
2010-01-21,-0.019416151293117388,-0.00940762204252011,-0.016565558458195007,-0.01730371144151979,0.0,0.17578705268671796,3.62,0.11,0.13,0,0
2010-01-22,-0.022544277290502627,-0.029673188070391286,-0.01814018936269593,-0.024464430313555042,-0.001731540722174611,0.2040124141057789,3.62,0.11,0.13,0,0
2010-01-25,0.005114542844014147,0.0033910172709283124,0.0011332954011815171,0.012850517531560475,-0.001300700264905701,-0.07211012460318689,3.66,0.11,0.13,0,0
2010-01-26,-0.004199121107271623,0.000902002252214723,-0.009919699242948152,-0.008457324110036,0.004329005741191962,-0.03443096816347395,3.65,0.11,0.13,0,0
2010-01-27,0.00474554297246661,0.007860414982634161,0.010566928980557005,-0.011573514644171418,0.003449545778078253,-0.05914912777450747,3.66,0.11,0.13,0,0
2010-01-28,-0.011538408185618812,-0.026063139414958317,-0.017289926478436524,0.0022147853599034494,0.0017205661538525698,0.025177355768109356,3.68,0.11,0.13,0,0
2010-01-29,-0.010928320222285778,-0.01760521185637482,-0.011084544375190929,-0.014484945827034211,0.007705489293961069,0.03681910368660482,3.63,0.11,0.13,0,0
2010-02-01,0.015431104676826578,0.010923116624799245,0.011742632321785398,0.029853013518694543,-0.004273408202583777,-0.08605181760919507,3.68,0.11,0.13,0,0
2010-02-02,0.012031027079633981,0.008975361636872646,0.010956004676694046,0.021818981625028034,-0.003432081091377238,-0.050385088905071464,3.67,0.11,0.13,0,0
2010-02-03,-0.00499540334855598,0.0054834783979832245,-0.006690240571912357,0.0031924141530274585,0.005570970372431631,0.0055710840212487844,3.73,0.11,0.13,0,0
2010-02-04,-0.03135198635504482,-0.02936273154700488,-0.03396882098465908,-0.05038512267839744,0.006389936686462921,0.18847540178231623,3.62,0.11,0.13,0,0
2010-02-05,0.002064500142882215,0.008411143524618003,0.0038875694606215817,-0.01661776493044826,0.00423709627273436,0.0011496719541274063,3.59,0.11,0.13,0,0
2010-02-08,-0.007244908129365113,-0.00723842098146381,-0.010004218123690416,-0.003413913221452227,-0.0004227384689778973,0.015203622847528454,3.62,0.11,0.13,0,0
2010-02-09,0.012481789439043278,0.010258413019520378,0.013709021412287853,0.03141910455012744,-0.006365434818041303,-0.019425490913244487,3.67,0.11,0.13,0,0
2010-02-10,-0.0019607014142191915,-0.002089886247623872,0.002350823423703268,0.00825085120102461,0.002975624511678024,-0.023347379015484476,3.72,0.11,0.13,0,0
2010-02-11,0.010412394930071811,0.014995926059922995,0.01580615446184261,0.007368036292108124,-0.0004245474973930913,-0.058363423969406816,3.73,0.11,0.13,0,0
2010-02-12,-0.0008328263083908141,0.0020587118464761274,0.0072367310152953775,-0.012860962739323219,0.003391247309385385,-0.052700117311324034,3.69,0.11,0.13,0,0
2010-02-16,0.01561227163952004,0.012716150639451012,0.016738593303245064,0.03995131834057346,-0.008499828534524884,-0.021343609113017598,3.66,0.11,0.13,0,0
2010-02-17,0.004727176968085974,0.0056244766380143755,0.006746117459635455,0.0047518648047512385,0.0093456774978739,-0.024108545160028243,3.74,0.11,0.13,0,0
2010-02-18,0.005877903003194372,0.006262832381772539,0.008130680669291393,0.019818075314446574,0.0,-0.05148717704930361,3.79,0.11,0.13,0,0
